Year, Month, Day, Hour, Min, Sec,AcX,AcY,AcZ,GyX,GyY,GyZ
2021, 07, 29, 20, 23, 25.611371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.612881,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.614850,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.617374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.618376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.620376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.622375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.624375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.626384,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.628375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.630375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.632376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.634375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.636517,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.638496,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.640533,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.642391,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.644371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.646371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.647373,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.649372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.652370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.654376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.655879,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.657832,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.659379,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.661369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.663370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.665369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.667709,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.669372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.671369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.672881,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.675159,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.677375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.680371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.682369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.683781,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.685690,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.687447,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.689377,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.690911,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.692677,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.694375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.696376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.698513,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.700408,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.702364,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.704372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.705987,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.707731,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.709519,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.711371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.713370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.714369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.716706,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.718544,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.720369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.722373,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.724366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.725367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.727379,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.729587,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.731368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.733369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.735368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.737371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.739370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.741375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.742712,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.744708,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.746653,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.748371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.749813,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.751488,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.753378,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.755371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.757370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.758365,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.760376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.762372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.764369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.765933,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.767571,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.769369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.771369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.772367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.774383,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.776785,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.778469,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.780370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.782372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.784370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.786371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.788370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.790368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.792373,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.793376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.795628,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.797640,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.799366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.802368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.804367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.806368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.807923,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.809697,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.811385,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.813368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.815395,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.817365,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.819374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.821371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.823371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.825367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.828367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.829931,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.831667,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.833367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.835585,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.837371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.839370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.841369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.843390,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.845371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.847374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.849511,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.852372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.854376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.856367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.858527,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.860366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.861939,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.863367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.865366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.867367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.869366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.871368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.872873,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.875368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.877634,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.879368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.881816,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.883547,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.885365,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.887368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.888813,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.890611,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.892431,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.894373,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.896366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.898548,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.900368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.902368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.903366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.905366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.907382,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.909367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.910366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.912606,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.914457,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.916368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.917680,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.919597,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.921367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.922749,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.924365,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.926367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.928366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.930368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.931845,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.933366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.935375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.937377,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.939377,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.941370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.942371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.944683,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.946518,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.948401,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.950368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.952368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.953368,-6744,9240,10388,-2416,-720,160
